避難收容處所名稱,is_indoor,classification_reasoning
五峰活動中心,True,基於原始室內標記
南坑村集會所暨南外社區活動中心,True,基於規則推斷 (活動中心通常為室內設施)
霞雲社區活動中心,True,基於原始室內標記
澤仁里辦公處,True,基於原始室內標記
奎輝里活動中心,True,基於原始室內標記
高義教會,True,基於原始室內標記
上大社區活動中心,True,基於規則推斷 (活動中心通常為室內設施)
武威社區活動中心,True,基於規則推斷 (活動中心通常為室內設施)
塔腳社區活動中心,True,基於規則推斷 (活動中心通常為室內設施)
廣福社區活動中心,True,基於規則推斷 (活動中心通常為室內設施)
草漯國民小學,True,基於規則推斷 (預設為室內 - 安全原則)
上大國民小學,True,基於規則推斷 (預設為室內 - 安全原則)
崙坪國民小學,True,基於規則推斷 (預設為室內 - 安全原則)
富林國民小學,True,基於規則推斷 (預設為室內 - 安全原則)
樹林國民小學,True,基於規則推斷 (預設為室內 - 安全原則)
觀音區公所綠資源中心,True,基於規則推斷 (預設為室內 - 安全原則)
高雄市前鎮區光華國民小學,True,基於規則推斷 (預設為室內 - 安全原則)
大武國小,True,基於原始室內標記
尖山國小操場,False,基於原始室外標記
高雄市小港區鳳林國民小學,True,基於規則推斷 (預設為室內 - 安全原則)
大武社區活動中心,True,基於原始室內標記
和平國小,True,基於原始室內標記
佳義社區活動中心,True,基於原始室內標記
中東社區活動中心,True,基於規則推斷 (活動中心通常為室內設施)
崇實高工體育館,True,基於規則推斷 (體育館為室內設施)
東芳國小,True,基於規則推斷 (預設為室內 - 安全原則)
三義社區活動中心,True,基於規則推斷 (活動中心通常為室內設施)
大同國中,True,基於規則推斷 (預設為室內 - 安全原則)
員林農工體育館,True,基於規則推斷 (體育館為室內設施)
員林市員東國小,True,基於規則推斷 (預設為室內 - 安全原則)
員林市員林國中活動中心,True,基於規則推斷 (活動中心通常為室內設施)
員林市員林國小,True,基於規則推斷 (預設為室內 - 安全原則)
健康公園,False,基於原始室外標記
屏東市信義國小,True,基於原始室內標記
光隆營區,True,基於原始室內標記
大快官藝文館,True,基於規則推斷 (預設為室內 - 安全原則)
彰德國中勤學樓、育英樓穿堂,True,基於規則推斷 (預設為室內 - 安全原則)
介壽社區活動中心,True,基於規則推斷 (活動中心通常為室內設施)
