shelter_name,address,latitude,longitude,is_indoor,capacity,nearest_aqi_station,nearest_aqi_value,distance_to_station_km,risk_level,risk_reason,analysis_time
五峰活動中心,,24.386,121.073,True,110,台中,47,48.39,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
南坑村集會所暨南外社區活動中心,9鄰大南坑1-5號,24.6725,121.0561,True,20,新竹,42,18.08,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
霞雲社區活動中心,6鄰22-1號,24.814018,121.406238,True,36,桃園,38,22.61,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
澤仁里辦公處,14鄰中正路168之1號,24.820601,121.351987,True,40,桃園,38,19.91,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
奎輝里活動中心,3鄰羅馬路3段355號,24.797047,121.334302,True,50,桃園,38,22.11,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
高義教會,6鄰48號,24.706112,121.354462,True,61,桃園,38,32.42,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
上大社區活動中心,8鄰大湖路一段510號,24.978234,121.147333,True,0,桃園,38,15.58,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
武威社區活動中心,4鄰武威一路10號,25.028242,121.073317,True,0,桃園,38,23.26,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
塔腳社區活動中心,4鄰塔腳路116號,25.049298,121.154708,True,0,桃園,38,15.99,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
廣福社區活動中心,福山路二段403巷6號,25.019018,121.153383,True,0,桃園,38,15.14,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
草漯國民小學,新生路1462號,25.045941,121.142939,True,100,桃園,38,16.96,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
上大國民小學,8鄰大湖路一段540號,24.979129,121.146755,True,100,桃園,38,15.63,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
崙坪國民小學,崙坪里297之1號,24.999596,121.162676,True,100,桃園,38,13.96,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
富林國民小學,大觀路三段466號,25.062195,121.1285,True,100,桃園,38,18.98,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
樹林國民小學,觀音鄉樹林村新村路二段十二號,25.062176,121.128468,True,100,桃園,38,18.98,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
觀音區公所綠資源中心,觀新路56號,25.028281,121.083597,True,0,桃園,38,22.24,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
高雄市前鎮區光華國民小學,廣西路57號,22.615,120.32,True,300,高雄,150,2.35,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
大武國小,民族街2巷49號,22.365009,120.905497,True,350,台東,25,50.57,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
尖山國小操場,尖豐路305號,24.64686,120.894048,False,200,新竹,42,19.99,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
高雄市小港區鳳林國民小學,鳳林路207號,22.527,120.343,True,300,高雄,150,11.94,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
大武社區活動中心,2鄰小山巷7號,22.757534,120.754782,True,30,台東,25,40.81,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
和平國小,和平112號,24.308073,121.748879,True,250,宜蘭,33,42.85,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
佳義社區活動中心,泰平巷11號,22.653475,120.630874,True,0,高雄,150,33.94,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
中東社區活動中心,山腳路五段185巷20號,23.971414,120.599689,True,30,台中,47,20.99,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
崇實高工體育館,育英路103號,23.961057,120.574848,True,80,台中,47,23.05,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
東芳國小,彰馬路45號,24.062538,120.516345,True,145,台中,47,18.56,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
三義社區活動中心,員鹿路245巷112號,23.95268,120.563531,True,200,台中,47,24.4,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
大同國中,大同路一段345號,23.963213,120.579502,True,200,台中,47,22.63,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
員林農工體育館,員水路二段313號,23.955187,120.581692,True,200,台中,47,23.35,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
員林市員東國小,員東路二段12號,23.961879,120.587309,True,200,台中,47,22.44,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
員林市員林國中活動中心,南潭路2號,23.979184,120.557085,True,200,台中,47,22.16,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
員林市員林國小,三民東街221號,23.960059,120.57921,True,300,台中,47,22.96,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
健康公園,忠明南路與五權南路交叉口,24.119757,120.667553,False,7500,台中,47,3.17,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
屏東市信義國小,信義路262號,22.68523,120.49197,True,965,高雄,150,20.59,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
光隆營區,光興路1001號,24.1112,120.7305,True,80,台中,47,7.06,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
大快官藝文館,彰南路五段8號,24.068651,120.613159,True,45,台中,47,10.72,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
彰德國中勤學樓、育英樓穿堂,彰南路二段512巷97號,24.08054,120.589342,True,45,台中,47,11.35,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
介壽社區活動中心,介壽新村21號,24.070873,120.551727,True,45,台中,47,15.03,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
國聖國小,中山路三段608號,24.092292,120.568089,True,54,台中,47,12.35,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
石牌國小,田坑路一段9號,24.058558,120.614942,True,63,台中,47,11.56,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
茄苳社區活動中心,茄苳路二段292號,24.10378,120.547944,True,64,台中,47,13.66,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
三民國小,田中路125號,24.085743,120.604547,True,77,台中,47,9.83,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
南北管戲曲音樂館,平和七街66號,24.068206,120.529851,True,77,台中,47,17.06,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
牛埔社區活動中心,彰南路三段226號,24.081368,120.597531,True,78,台中,47,10.68,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
桃源社區活動中心,公園路二段102之1號,24.072547,120.559047,True,90,台中,47,14.32,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
南興社區活動中心,中山路一段189巷49號,24.056604,120.533189,True,93,台中,47,17.48,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
快官社區活動中心,彰南路四段566號之1,24.068422,120.612013,True,115,台中,47,10.81,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
福山社區活動中心,福山街168號,24.082668,120.571394,True,177,台中,47,12.64,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
延和社區活動中心,埔西街111號,24.059306,120.538252,True,184,台中,47,16.89,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
泰和國小,泰和路二段145巷1號,24.092496,120.55168,True,203,台中,47,13.81,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
彰興國中,埔西街107號,24.059274,120.538251,True,242,台中,47,16.89,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
信義國中小,向陽街168號,24.062723,120.52814,True,399,台中,47,17.53,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
雅溝社區活動中心,南軒路359巷7號,24.099707,120.492521,True,150,台中,47,19.14,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
湖口鄉信勢國小禮堂,成功路360號,21.9002,121.0376,True,385,台東,25,96.15,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
港口社區活動中心,港口路42號,21.9912,120.8271,True,50,高雄,150,89.04,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
恆春國中收容所,文化路79號,22.0031,120.7475,True,1400,高雄,150,83.21,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
恆春鎮公所,天文路1號,22.0038,120.7474,True,220,高雄,150,83.14,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
永靖社區活動中心,庄內路33巷8-1號,22.0052,120.8092,True,30,高雄,150,86.68,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
永港國民小學,新庄路25號,22.005679,120.817377,True,100,高雄,150,87.15,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
恒春國小收容所,北門路39巷26號,22.0064,120.7466,True,200,高雄,150,82.85,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
僑勇國小收容所,西門路146號,22.0087,120.7442,True,430,高雄,150,82.5,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
滿州國民小學,中山路39號,22.020382,120.838101,True,100,高雄,150,87.19,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
屏東縣滿州鄉公所,中山路43號,22.0209,120.8386,True,30,高雄,150,87.18,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
舊蘭嶼國小,臺東縣蘭嶼鄉紅頭村1-1號,22.0211,121.5546,True,100,台東,25,91.79,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
滿州社區活動中心,中山路107號,22.0233,120.8371,True,30,高雄,150,86.87,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
屏東縣滿州鄉圖書館,中山路152號,22.0243,120.8377,True,100,高雄,150,86.83,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
滿州國民中學,文化路32號,22.024499,120.839695,True,100,高雄,150,86.94,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
蘭恩活動中心,臺東縣蘭嶼鄉紅頭村漁人147號,22.026,121.539,True,500,台東,25,90.59,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
蘭嶼國民小學,1號 之1,22.0302,121.5266,True,100,台東,25,89.62,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
響林活動中心,福德路64巷3號,22.0377,120.8335,True,50,高雄,150,85.4,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
椰油國民小學,1號,22.0453,121.5176,True,100,台東,25,87.7,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
蘭嶼完全高級中學,臺東縣蘭嶼鄉椰油村34號,22.0494,121.5126,True,500,台東,25,87.07,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
屏東縣立車城國小保力分校,保力路30號,22.0561,120.7275,True,63,高雄,150,77.17,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
屏東縣立車城國小射寮分校,埔墘路38號,22.0567,120.7118,True,63,高雄,150,76.2,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
屏東縣立車城國中,新興路42號,22.0729,120.7165,True,350,高雄,150,74.98,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
高士國小牡林分校,四林路80號,22.0731,120.8139,True,304,高雄,150,81.09,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
長樂村長壽俱樂部,和平路21號,22.0742,120.8258,True,50,高雄,150,81.8,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
屏東縣立車城國小,中山路66號,22.0749,120.7146,True,250,高雄,150,74.69,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
長樂國小,大公路35號,22.0755,120.8286,True,120,高雄,150,81.88,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
車城福安宮香客大樓,福安路5之1號,22.0766,120.7119,True,100,高雄,150,74.38,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
朗島國小,臺東縣蘭嶼鄉朗島村17號,22.0792,121.5286,True,100,台東,25,84.82,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
屏東縣立車城國小溫泉分校,文化路23號,22.096,120.7487,True,63,高雄,150,74.87,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
九棚永久屋大愛基地活動中心,九棚路大愛巷6號,22.111079,120.87378,True,100,台東,25,77.47,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
高士國小,高士路29號,22.1248,120.847,True,350,台東,25,77.13,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
石門村活動中心,石門路18號,22.1254,120.774,True,100,高雄,150,74.0,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
港仔活動中心,港仔路67號,22.1334,120.8815,True,50,台東,25,74.87,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
竹坑活動中心,竹坑一巷1鄰8號,22.1454,120.7012,True,40,高雄,150,67.53,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
牡丹國小,牡丹路93號,22.1766,120.8377,True,350,台東,25,72.33,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
楓港國民小學,光復24號,22.1902,120.6922,True,90,高雄,150,63.06,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
旭海村活動中心,旭海路93-1號,22.1917,120.8786,True,250,台東,25,69.02,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
楓港老人文康中心,村舊庄1-2號,22.193,120.6895,True,80,高雄,150,62.64,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
楓林國小,楓林二巷22之2號,22.2022,120.7038,True,50,高雄,150,62.81,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
丹路國小,丹路一巷39號,22.2034,120.7515,True,50,高雄,150,66.05,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
獅子鄉立綜合體育館,舊庄280號,22.2051,120.7014,True,100,高雄,150,62.41,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
東源村活動中心,東源路6號,22.2052,120.851,True,250,台東,25,68.88,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
內文活動中心,3鄰26號,22.2183,120.8507,True,40,台東,25,67.59,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
獅子活動中心,3鄰35號,22.2323,120.6805,True,0,高雄,150,58.71,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
草埔活動中心,6鄰64號,22.2341,120.8014,True,40,高雄,150,67.47,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
枋山鄉公所,枋山路82號,22.26396799,120.6524235,True,50,高雄,150,54.16,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
枋寮高中正成分校,國中路1號,22.2643,120.6606,True,150,高雄,150,54.7,High Risk,最近AQI測站(高雄) AQI為150 > 100,2026-03-03 19:07:25
南田基督教會,臺東縣達仁鄉南田村3鄰20號,22.276682,120.890256,True,50,台東,25,59.96,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
森永活動中心,臺東縣達仁鄉森永村3鄰31號,22.280641,120.864826,True,100,台東,25,60.79,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
南田活動中心,臺東縣達仁鄉南田村10之2號,22.286514,120.888972,True,100,台東,25,59.05,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
安朔基督教會,臺東縣達仁鄉安朔村2鄰20號,22.292996,120.866016,True,50,台東,25,59.54,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
